id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
207,Tapeten 1 Brf,,Ringvägen 8,11726,Stockholm,Stockholms kommun,Stockholms län,59.3177355,18.0499588,2
208,Nummerhästen Gärdet Brf,,Rindögatan 4,11535,Stockholm,Stockholms kommun,Stockholms län,59.3475572,18.0941241,2
209,Karteschen nr 2 Brf,,Rindögatan 25,11535,Stockholm,Stockholms kommun,Stockholms län,59.3457107,18.0991932,2
210,Spelet 1 Brf,,Riddargatan 55,11457,Stockholm,Stockholms kommun,Stockholms län,59.3326334,18.0917953,2
211,Lupinen i Haninge HSB Brf,,Ribby allé 64,13741,Västerhaninge,Haninge kommun,Stockholms län,59.1209082,18.1141407,2
213,Registret Brf,,Registervägen,16830,Stockholm,Stockholms kommun,Stockholms län,59.3369334,17.9521711,2
214,Flåren Brf,,Ralångsvägen 6,12050,Stockholm,Stockholms kommun,Stockholms län,59.2938541,18.0601402,2
215,Arkaden Sundbyberg Brf,,Prästgårdsgatan,17232,Sundbybergs kommun,Sundbybergs kommun,Stockholms län,59.3623325,17.9743991,2
216,Essinge Brygga Brf,,Primusgatan 70,11262,Stockholm,Stockholms kommun,Stockholms län,59.3229787,18.0024747,2
217,Essinge Kaj Brf,,Primusgatan 58,11267,Stockholm,Stockholms kommun,Stockholms län,59.3236330,18.0013934,2
218,Primusgaraget Samfällighetsförening,,Primusgatan 54,11262,Stockholm,Stockholms kommun,Stockholms län,59.3239831,18.0015145,2
219,Brf Essinge Udde 1,,Primusgatan 100,11267,Stockholm,Stockholms kommun,Stockholms län,59.3225855,18.0057178,2
220,Stockelden Bandhagen Brf,,Porlabacken 9,12470,Stockholm,Stockholms kommun,Stockholms län,59.2621419,18.0221799,2
221,Päronträdet 11 Brf,,Pontonjärgatan 4,11222,Stockholm,Stockholms kommun,Stockholms län,59.3284682,18.0381652,2
222,Mälarstrand Brf,,Pontonjärgatan 30,11235,Stockholm,Stockholms kommun,Stockholms län,59.3295761,18.0298117,2
223,Vårdtornet i Stockholm HSB Brf,,Polhemsgatan 27,11232,Stockholm,Stockholms kommun,Stockholms län,59.3333109,18.0378617,2
